num_nodes_enriched	num_sig_nodes_group1_enrich	num_sig_nodes_group2_enrich	num_nonsig_nodes_enrich	multinomial_p	multinomial_corr	description	func	dataset
30	13	1	16	0.00343351948954751	0.164786236275176	hisD; histidinol dehydrogenase [EC:1.1.1.23]	K00013	Obesity 1
22	11	1	10	0.00714996759608915	0.239166416089182	HIBADH, mmsB; 3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]	K00020	Obesity 1
23	13	2	8	0.00185744585015606	0.138070141528267	argC; N-acetyl-gamma-glutamyl-phosphate reductase [EC:1.2.1.38]	K00145	Obesity 1
29	12	1	16	0.00524473488420781	0.200498722144858	E1.17.4.1A, nrdA, nrdE; ribonucleoside-diphosphate reductase alpha chain [EC:1.17.4.1]	K00525	Obesity 1
19	10	1	8	0.00854176984187114	0.24416525399746	E1.17.4.1B, nrdB, nrdF; ribonucleoside-diphosphate reductase beta chain [EC:1.17.4.1]	K00526	Obesity 1
20	11	1	8	0.00306854606416978	0.164228585354367	purH; phosphoribosylaminoimidazolecarboxamide formyltransferase / IMP cyclohydrolase [EC:2.1.2.3 3.5.4.10]	K00602	Obesity 1
20	11	0	9	0.000836718339147275	0.10430190315418	pyrB, PYR2; aspartate carbamoyltransferase catalytic subunit [EC:2.1.3.2]	K00609	Obesity 1
26	0	10	16	0.00260448657799098	0.164228585354367	E2.4.1.20; cellobiose phosphorylase [EC:2.4.1.20]	K00702	Obesity 1
21	12	1	8	0.00135601126136876	0.120956204514093	pyrE; orotate phosphoribosyltransferase [EC:2.4.2.10]	K00762	Obesity 1
25	13	2	10	0.00394107590493695	0.164786236275176	purF, PPAT; amidophosphoribosyltransferase [EC:2.4.2.14]	K00764	Obesity 1
25	14	2	9	0.000935333234815738	0.10430190315418	thiE; thiamine-phosphate pyrophosphorylase [EC:2.5.1.3]	K00788	Obesity 1
33	16	3	14	0.0027676663284585	0.164228585354367	ribH, RIB4; 6,7-dimethyl-8-ribityllumazine synthase [EC:2.5.1.78]	K00794	Obesity 1
26	12	1	13	0.00619940818535602	0.21688472574196	hisC; histidinol-phosphate aminotransferase [EC:2.6.1.9]	K00817	Obesity 1
32	12	1	19	0.00505051813779252	0.198752743187247	ppk; polyphosphate kinase [EC:2.7.4.1]	K00937	Obesity 1
23	10	0	13	0.00302368299965232	0.164228585354367	ndk, NME; nucleoside-diphosphate kinase [EC:2.7.4.6]	K00940	Obesity 1
31	17	1	13	7.15291865489752e-05	0.0525711571177058	thiD; hydroxymethylpyrimidine/phosphomethylpyrimidine kinase [EC:2.7.1.49 2.7.4.7]	K00941	Obesity 1
26	11	0	15	0.00129075057840173	0.120956204514093	E3.1.11.2, xthA; exodeoxyribonuclease III [EC:3.1.11.2]	K01142	Obesity 1
22	12	1	9	0.00205534664159461	0.144739674023873	URA4, pyrC; dihydroorotase [EC:3.5.2.3]	K01465	Obesity 1
15	8	0	7	0.0081955518606878	0.24416525399746	lysA; diaminopimelate decarboxylase [EC:4.1.1.20]	K01586	Obesity 1
21	13	1	7	0.000346471058142757	0.0692729469568521	purE; 5-(carboxyamino)imidazole ribonucleotide mutase [EC:5.4.99.18]	K01588	Obesity 1
18	10	0	8	0.00171861112956582	0.136555122564904	pyrF; orotidine-5'-phosphate decarboxylase [EC:4.1.1.23]	K01591	Obesity 1
27	14	1	12	0.000935443077615961	0.10430190315418	cynT, can; carbonic anhydrase [EC:4.2.1.1]	K01673	Obesity 1
33	14	2	17	0.00822664594077059	0.24416525399746	ilvD; dihydroxy-acid dehydratase [EC:4.2.1.9]	K01687	Obesity 1
29	13	1	15	0.00374413366595241	0.164786236275176	hisA; phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase [EC:5.3.1.16]	K01814	Obesity 1
13	1	8	4	0.0085768063810767	0.24416525399746	GARS, glyS1; glycyl-tRNA synthetase [EC:6.1.1.14]	K01880	Obesity 1
23	13	0	10	0.000149349144303458	0.0622273592911052	purC; phosphoribosylaminoimidazole-succinocarboxamide synthase [EC:6.3.2.6]	K01923	Obesity 1
20	13	1	6	0.000186030969480135	0.0622273592911052	purM; phosphoribosylformylglycinamidine cyclo-ligase [EC:6.3.3.1]	K01933	Obesity 1
23	12	2	9	0.00632175209561766	0.21688472574196	argG, ASS1; argininosuccinate synthase [EC:6.3.4.5]	K01940	Obesity 1
16	10	0	6	0.000778587276606721	0.10430190315418	purD; phosphoribosylamine---glycine ligase [EC:6.3.4.13]	K01945	Obesity 1
21	13	1	7	0.000346471058142757	0.0692729469568521	PFAS, purL; phosphoribosylformylglycinamidine synthase [EC:6.3.5.3]	K01952	Obesity 1
24	13	3	8	0.00392807746322808	0.164786236275176	carA, CPA1; carbamoyl-phosphate synthase small subunit [EC:6.3.5.5]	K01956	Obesity 1
24	13	2	9	0.00260676362544048	0.164228585354367	dinB; DNA polymerase IV [EC:2.7.7.7]	K02346	Obesity 1
32	15	3	14	0.00590933225613289	0.213694231316373	fabK; enoyl-[acyl-carrier protein] reductase II [EC:1.3.1.9]	K02371	Obesity 1
27	13	0	14	0.00036241452070102	0.0692729469568521	hisF; imidazole glycerol-phosphate synthase subunit HisF [EC:4.3.2.10]	K02500	Obesity 1
28	13	1	14	0.00326935893330068	0.164786236275176	hisH; imidazole glycerol-phosphate synthase subunit HisH [EC:4.3.2.10]	K02501	Obesity 1
13	8	1	4	0.0085768063810767	0.24416525399746	ispB; octaprenyl-diphosphate synthase [EC:2.5.1.90]	K02523	Obesity 1
8	3	5	0	0.00173500529417293	0.136555122564904	RP-S21, MRPS21, rpsU; small subunit ribosomal protein S21	K02970	Obesity 1
20	11	1	8	0.00306854606416978	0.164228585354367	rpoN; RNA polymerase sigma-54 factor	K03092	Obesity 1
31	12	1	18	0.00549947128661288	0.204397016152445	thiC; phosphomethylpyrimidine synthase [EC:4.1.99.17]	K03147	Obesity 1
34	15	2	17	0.00374406418631285	0.164786236275176	thiH; 2-iminoacetate synthase [EC:4.1.99.19]	K03150	Obesity 1
25	12	1	12	0.00474549212293738	0.19240813516637	lctP; lactate permease	K03303	Obesity 1
25	14	3	8	0.0013476027076572	0.120956204514093	moaA, CNX2; GTP 3',8-cyclase [EC:4.1.99.22]	K03639	Obesity 1
31	11	1	19	0.00847396349144672	0.24416525399746	recQ; ATP-dependent DNA helicase RecQ [EC:3.6.4.12]	K03654	Obesity 1
31	1	11	19	0.00847396349144672	0.24416525399746	queH; epoxyqueuosine reductase [EC:1.17.99.6]	K09765	Obesity 1
32	15	0	17	7.85816997275124e-05	0.0525711571177058	K09861; uncharacterized protein	K09861	Obesity 1
