intersect	slope	p	BH	Description	func	func_type	variable
0.314397082177305	-0.119934103919275	0.00932489836865329	0.0401812878737002	hom; homoserine dehydrogenase [EC:1.1.1.3]	K00003	ko	Mean_Temperature
0.140805438702618	0.086573706236662	0.00274545195607926	0.0132205289218842	UGDH, ugd; UDPglucose 6-dehydrogenase [EC:1.1.1.22]	K00012	ko	Mean_Temperature
0.020678067792647	0.232926918253313	7.70548895373288e-11	9.14120083871793e-10	hisD; histidinol dehydrogenase [EC:1.1.1.23]	K00013	ko	Mean_Temperature
0.158764224715979	0.228023247428403	0.000130007045067247	0.00076226650775657	gyaR, GOR1; glyoxylate reductase [EC:1.1.1.26]	K00015	ko	Mean_Temperature
-0.0725287086798705	0.313684692458888	3.55283277982685e-15	6.17952347303737e-14	mdh; malate dehydrogenase [EC:1.1.1.37]	K00024	ko	Mean_Temperature
0.335494113814695	-0.219766369806482	0.00113759165598804	0.00580441151286791	E1.1.1.40, maeB; malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]	K00029	ko	Mean_Temperature
0.460898490154309	-0.243267469026	2.05908503848123e-22	7.55638954506383e-21	IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]	K00031	ko	Mean_Temperature
0.0996594843216783	0.372571817643699	8.29301208358458e-11	9.78604729792605e-10	G6PD, zwf; glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]	K00036	ko	Mean_Temperature
0.306127840478023	-0.164831690366486	0.0149562107834056	0.06192965395063	ttuD; hydroxypyruvate reductase [EC:1.1.1.81]	K00050	ko	Mean_Temperature
0.169194339191755	0.0744520811787207	0.0690859436842801	0.238339368733113	ilvC; ketol-acid reductoisomerase [EC:1.1.1.86]	K00053	ko	Mean_Temperature
0.36779633705241	-0.140212250719473	0.00045563590369834	0.0024815902692983	gpsA; glycerol-3-phosphate dehydrogenase (NAD(P)+) [EC:1.1.1.94]	K00057	ko	Mean_Temperature
0.140866067206472	0.171096385768088	0.000997966035124675	0.00514306724428835	E1.1.1.122; D-threo-aldose 1-dehydrogenase [EC:1.1.1.122]	K00064	ko	Mean_Temperature
0.524993132444221	-0.252605305420058	3.60988466007557e-12	4.73682114826027e-11	paaH, hbd, fadB, mmgB; 3-hydroxybutyryl-CoA dehydrogenase [EC:1.1.1.157]	K00074	ko	Mean_Temperature
-0.061319614086182	0.195691337111104	6.82927364563443e-12	8.77167666907546e-11	IMPDH, guaB; IMP dehydrogenase [EC:1.1.1.205]	K00088	ko	Mean_Temperature
0.287436292921021	-0.070864043228029	0.0502222231996692	0.181708682963483	E1.1.1.219; dihydroflavonol-4-reductase [EC:1.1.1.219]	K00091	ko	Mean_Temperature
